index,query_clean
4128,нет ли просрочек по минимальным платежам
4129,у меня есть задолжность по платижу просрочка
4130,просрочка по кредиту
4131,почему у меня просрочка если я пополнил вчера
4132,какой процент будет после просрочки кредитной карты <anon num> дней
4133,оплачу просроченный платеж по кредитной карте завтра
4134,у меня сегодня платеж по кредиту я только сейчас закинул деньги за кредит я не просрочил платеж
4135,просроченных задолжностей у меня нет
4136,сообщают по поводу оплаты просроченных платежей обязуюсь погасить просроченные платежи до <anon num> <anon num> <anon num> года после продажи квартиры
4137,то что я сегодня просрочил платеж в дальнейшем как мне это аукнется
4138,где неисполнение обязательств по кредитам если вношу все вовремя
4139,почему по кредитке просрочка
4140,откуда у меня просрочка
4141,на <anon num> тыс одобрили и звонили сотрудники по получению но очень поздно а вы щас говорите не одобрили у меня никогда не было кредитов и просрочка по кредитке
4142,просрочили платеж объясните основание по сумме <anon num> <anon num> <anon num> платеж внесли сегодня
4143,почему у меня просрочка вышла
4144,у меня не было просрочек
4145,если у меня какая то задолженность просроченная по кредитной карте
4146,как долго корректируется баланс <anon num> переведено просрочка все еще висит
4147,на данный момент у меня есть просрочки по платежам рассрочки
4148,почему у меня просрочка я же оплачивал
4149,я внёс деньги которые на просрочку деньги списали а просрочка осталась она чуть позже пропадет
4150,сегодня оплачу просрочку
4151,какая сумма просрочки и могу ли я выплатить только просрочку или теперь нужна полная стоимость
4152,произошла просрочка по кредитной карте оплатить смогу завтра какие пенни будут начислены
4153,у меня не было просрочки
4154,давайте уточним тогда какая в меня просрочка
4155,если написано заплатить минимальный платеж до пятого числа могу ли я заплатить его пятого числа в течение дня не будет ли он просрочен
4156,что за просрочка платежа по моей кредитной карте было указано до <anon num> октября я оплатила гораздо раньше
4157,не могу понять что за просрочка в два дня на сумму <anon num> рублей
4158,деньги на погашение кредита внесены в день снятия это считается как просрок
4159,были долгие задержки по заплате и за счет этого еще больше влез долги
4160,переведите на оператора по просрочке
4161,тогда заморозьте просрочку
4162,у меня заблокирован лимит и банк объяснил это просрочкой
4163,я что то не понимаю как у меня просрочен платеж
4164,почему написано что просрочен долг <anon num> р хотя просрочки нет
4165,у меня есть просрочка по а деньги которую передали вам
4166,а можно увидеть график платежей и досрочная погашенные возможно
4167,проблемы с доходами надо график платежей новый составить
4168,где условия договора и график платежей <anon num> на почту отказ пришел
4169,не могу <anon num> теперь раздел о платежах по кредиту где находится этот раздел куда его убрали
4170,как в личном кабинете могу посмотреть график погашения кредита
4171,когда будет сформирован график платежей по кредиту
4172,и войти в график
4173,я календарь переверну
4174,с кем можно обсудить план погашения долга чтобы вернуться в график платежей
4175,какой график возврата там
4176,когда будет сформирован новый график по кредиту справка о закрытии кк предоставлена
4177,можно мне график платежей по кредитной карте предоставить
4178,сделайте более гибкий график тогда
4179,где посмотреть график кредита
4180,согласен платить <anon num> месяцев по <anon num> <anon num> составьте график платежей и с октября начну гасить долг
4181,сколько времени занимает обновление графика платежей
4182,где можно увидеть график платежей по кредиту
4183,когда измениться график оплаты за кредит
4184,у меня в приложении отражалась дата погашения кредита <anon num> <anon num> <anon num>
4185,узнать график платежей на каждый месяц
4186,графика платежей
4187,график платежей по рассрочке
4188,не могу зайти на кредитный счет чтобы увидеть график платежей
4189,почему у меня не обновляется график платежей в приложении
4190,как узнать график платежей по кредитной карте
4191,график рассрочки
4192,почему у меня к оплате появилась общая сумма долга что больше штрафов начислить я вношу по возможности пдатежи вернуть график в сентябре долг закрою и войду в график
4193,что с моим кредитом я в поселке почти без связи лежу в больнице почему автопогашение не работает верните мне нормальный график платежей чтобы я его закрыл
4194,не могу найти график платежей по рассрочке
4195,где посмотреть график платежей по кредитной карте
4196,давайте оформим новый график поатежей ситуация с доходом исправимся во второй половине месяца
4197,как мне вернуться в график платежей
4198,как можно скачать график платежей по ипотеке
4199,вчера взяла деньги в рассрочу теперь не могу понять как мне их пополнить когда график платежей
4200,график платежей где посмотреть
4201,хочу узнать график платежей по кредиту
4202,кредитная карта график платежей
4203,какой у меня график платежей по кредитной карте
4204,для погашен ия рассрочки есть график платежей минимальный ежемесячный платеж
4205,<anon num> кредитный договор все страницы <anon num> график платежей первый год текущий год и последний год <anon num> выписка из егрн
4206,если так это было как вы пишите я б не обратился к вам а на деле как был график платежей с первого месяца так остался
4207,где посмотреть график платежей по рассрочке
4208,мне нужно получить график по кредитной карте <anon num>
4209,какой график платежей у меня <anon num> тысяч ушли в неизвестном направлении
4210,как уменьшить ставку по кредиту
4211,меня вчера заверили в том что сегодня ставка на счету будет повышена до <anon num> этого не произошло
4212,какой процент по кредитной карте
4213,какой процент за оплату по кредиту на <anon num>
4214,какой процент по кредитной карте
4215,какая в итоге ставка у меня
4216,хочу снизить процентную ставку по кредиту
4217,почему ставка по моему счету не повысилась
4218,какой сейчас процент по потребительскому кредиту на сумму <anon num>
4219,дело в том что по кредиту под залог у меня увеличилась ставка на <anon num> процентов платеж <anon num> <anon num> плюс у меня еще одним кредит <anon num> я физически не смогу оплачивать у меня уходят все сбережения и денег не хватает
4220,какая у меня процентная ставка по кредитной карте
4221,почему вы не показываете процентную ставку по кредитам это не было видно ни на одном этапе оформления и не видно сейчас тоже
4222,годовая процентная ставка по кредиту
4223,а могу я как то снизить процентную ставку по кредиту
4224,можете мне подсказать почему по ипотеке у меня поднялся
4225,я хочу узнать ставку по кредитованию
4226,какой процент по кредиту
4227,какой процент по потребительскому кредиту
4228,какой кредит нужно закрыть чтобы ставка по кредиту стала на <anon num> ниже
4229,понизить кредитную ставку
4230,ставку по моему кредиту
4231,какая процентная ставка по потребительскому кредиту
4232,а какая процентная ставка в банке
4233,под какой процент кредит
4234,какие сейчас процентные ставки по кредитам
4235,я оплатила но <anon num> <anon num> по договору альфа банк повысит ставку по ипотеке
4236,так процентная ставка не то что не уменьшилась она увеличилась сейчас мне что делать чтобы платить кредит по тем процентам по которым я брала его изначально
4237,если участник зарплатного проекта альфа банк какая ставка по ипотеке на вторичном рынке
4238,процентная ставка по ипотеке
4239,какой у меня годовой процент по кредитной карте
4240,я уточнить о снижении процентной ставки по моему кредиту
4241,снизить процентную ставку и к было оплачено ежегодное страхование через компанию ингосстрах по дог <anon num> документы отправлены на адрес <email>
4242,почему увеличили процент кредитования
4243,как узнать какие обязательства по кредиту не выполнены
4244,хочу написать заявление в банк об уменьшении ставки по кредиту
4245,убавить ставку
4246,как уменьшить проценты по кредиту
4247,снизить ставку по кредиту
4248,какой процент по кредитной каоте
4249,когда уменьшится ставка по кредиту
4250,пересмотреть ставку по кредиту
4251,уточните при оформлении кредита было предложение о снижении процента по кредиту при условии закрытия старого заема я его закрыла каким образом могу уточнить про снижении процента по текущему кредиту
4252,верните мне проценты за предыдущие дни по кредиту
4253,какой на сегодня процент на потребительский кредит
4254,что за общий долг у меня висит я все закрыл
4255,что это за общий долг
4256,списали с кредитной карты счёт карты <anon num> погашение процентов <anon num> <anon num> <anon num> что это за погашение процентов каких
4257,<anon num> списания долга еще возможна
4258,то есть мои деньги ушли на погашение задолженности по договорённости с банком
4259,погашение
4260,почему я плачу каждый месяц по <anon num> но сумма из основного долга не меняется
4261,минимальный платеж идет в счёт погашения основного долга по кредиту
4262,почему не списался основной долг
4263,почему основной долг по кредитному продукту
4264,погашение задолженности по кредитной карте
4265,минимальный платеж входит в сумму основного долга
4266,перевела <anon num> погасить на эту сумму основной долг благодарю за ранее
4267,вижу что деньги зачислены но не пойму куда их списали в счет какого долга
4268,если я активировал функцию <anon num> списывание долга
4269,а за что это долг
4270,откуда этот долг
4271,когда у меня начнется погашение основного долга
4272,за что этот долг
4273,сумму основного долга
4274,почему <anon num> раза списали погашение процентов
4275,как я узнаю что произошло погашение
4276,списались ли мои <anon num> ₽ в погашение долга или еще нет общались на эту тему <anon num> августа с евгенией
4277,погашение задолжности
4278,в прошлый раз списали в счет долга альфы сейчас что изменилось
4279,а в приложении это возможно чтобы я внесла любую сумму не обязательно в каникулы и эта сумма ушла на погашение основного долга
4280,я не оформляла кредит какое ещё погашение кредита <anon num> <anon num>
4281,долг добавился <anon num> рублей за что
4282,почему сумма процента в последний раз <anon num> хотя сумма основного долга менше чем предыдущие
4283,день объясните почему произошло погашение процентов и основного долга а на карте минус
4284,что значит счёт погашения кредита бск откуда он взялся
4285,можете подсказать что за платеж погашение процентов
4286,погашение просроченного од по договору поручительства <anon num> от <anon num>
4287,сколько гасится из основного долга
4288,доброго дня куда нажимать чтобы уменьшить сумму основного долга
4289,по карте <anon num> назначен платеж до <anon num> сентября на сумму <anon num> ₽ данная сумма полностью пойдёт на погашение основного долга
4290,списание задолженности
4291,вчера вечером положила на кредитную карту <anon num> тыс рублей почему были зачислены не в счёт основного долга а в счёт процентов что за проценты с меня взяли ведь я не пррпуслита ни одного платежа
4292,я немного про другое в каждом ежемесячном платеже у меня высчитывается в среднем <anon num> <anon num> оплата процентов и <anon num> <anon num> идёт в уплату основного долга примерно и эти цифры не меняются с течением времени
4293,основной долг
4294,погашение кредита какие периоды
4295,объясните что за долг <anon num>
4296,кредитная карта погашение долга
4297,а почему у меня основной долг <anon num>
4298,нет выне поняли дело не в шаблонах
4299,автоплатеж <anon num> <anon num> <anon num> деньги снимутся автоматически сейчас не перевожу
4300,выдаёт провайдеров но шаблонов нет
4301,как посмотреть свои подписки и автоплатежт
4302,автопополнение
4303,как подключить автоплатеж мобильного телефона
4304,шаблоны оплаты
4305,можно ли сделать шаблоном оплату карты тройка
4306,я просил добавить поставщиков услуг сказали в течение месяца сделают прошло уже полтора
4307,как настроить автоплатеж на ком услуги на конкретное число
4308,как отключить автоплатеж с моего счета его не видно
4309,где мои шаблоны
4310,в альфа онлайн нет кнопки повторить только получить квитанцию и создать шаблон
4311,пжл почему не прошли автоплатежи
4312,автоплатеж иви
4313,артём у вас есть автоплатёж мобильной связи в пользу <anon num> на номер <anon num> каждое первое число месяца платёж не прошёл поэтому направили вам уведомление
4314,как связаться с оператором ответ на шаблонные заявки не устраивает
4315,просто удалите шаблон
4316,в автоплатеже ничего нету
4317,как подключить автоплатеж
4318,почему не выполнен автоплатеж
4319,отключить автопополнение с другого банка я сама буду пополнять
4320,как настроить автопополнение
4321,какого хрена я не могу дополнить информацию по обращению что за шаблоны тупые
4322,как создать автоплатеж для оплаты интернета
4323,только шаблоном просто объяснить нельзя
4324,шаблоны для оплаты есть но разве не имеют отношения к платным услугам
4325,автоплатежи
4326,как отключить автоплатеж квартира уже не моя но каждый месяц списывают <anon num> за приложение к домофону мне не нравится
4327,может ли отключиться автоплатеж сам автоматически если кредит погашен
4328,изменить шаблон
4329,как подключить автоплатеж за оплату мобильной связи
4330,как отключить автоплатеж
4331,не купить авто а заложить чтобы дегу одобрили
4332,если вы начнёте читать сообщение а не копировать шаблоны то увидите что я написал сверху
4333,как настроить автоплатеж по дате
4334,как подключить автоплатеж по жку
4335,как отключить автоматический перевод средств с дебетовой карты на инвестиционный счет
4336,его нет в шаблонах в чем проблема
4337,удалите данные шаблоны
4338,как только решите проблему с оператором проведите автоплатеж за сентябрь буду признателен
4339,удалите шаблон
4340,какие шаблоны я эту квартиру снимал и там еще не живу какие коммунальные платежи я не подписал никаких соглашений и одобрений
4341,где в приложении находятся шаблоны
4342,как скачать чек за оплату заправки через приложение
4343,а как на самой заправке отображается
4344,не начислен кешбэк за оплату в сервисе альфа заправки с <anon num> <anon num> <anon num> по <anon num> <anon num> <anon num>
4345,ну я же заправлялась через ваш сервис чеки только ваши максимум что я смогла сделать сфоткать колонку после заправки
4346,вчера на автозаправки приложение списало <anon num> а по факту бензина заправилось на <anon num>
4347,какой сервисный сбор за заправки
4348,сервис заправки категория в августе была <anon num> ℅
4349,оплатила заправку а почему нет кэшбека
4350,где я могу взять квитанцию что я например оплатила заправку
4351,не возможно выбрать на карте заправку
4352,почему за покупку топлива начислен <anon num>
4353,в момент заправки
4354,могу ли оплатить картой на заправке и получить кэшбек который не давно вышел у меня это <anon num> и <anon num>
4355,хотел взять самокат но вылезла ошибка
4356,как оплачивать на альфа заправке лукойл есть
4357,хочу узнать почему кэшбэк на азс начислился <anon num> и <anon num> <anon num> если по сервису должен был быть <anon num>
4358,в этом месяце мне начисляться кэшбэк за заправки
4359,почему заправившись два раза подряд на газпромнефть не получается кэшбэк <anon num>
4360,за заправку на азс трэвел
4361,не заправляет колонка
4362,где кеш за заправку
4363,порядок действий на заправке с помощью приложения альфа заправки
4364,вопрос по заправкам
4365,когда я увижу дополнительный кэшбэк от сервиса заправки
4366,я через приложение заправила машину когда начисляется кэшбек
4367,кэшбэк за заправку где указывается
4368,почему за альфа заправки начислен маленький кэшбек
4369,оплачивал через приложение заправку на газпром но колонка не работает в итоге не залил топливо операция в обработке можно отменить
4370,почему кэшбэк на заправки не распространяется на ннк
4371,почему кэшбэк от <anon num> не <anon num>
4372,каким образом суммируется кэшбэк из категории заправки <anon num> и в сервисах до <anon num>
4373,кешбек за азс
4374,если заправка была не <anon num> а <anon num> кэшбэк будет только за <anon num> или не будет вообще из за большей суммы
4375,почему я не могу войти через приложение и заправлять машину
4376,сейчас какие условия по запракам
4377,заправился через приложение
4378,какой кешбек за топливо на заправках газпромнефть
4379,можно ли в один день оплатить топливо а заправиться в другой
4380,какой кэшбек начислится за заправку
4381,информационное сообщение партнер сообщил что решил ваш вопрос сообщите если это не так <anon num> сентября <anon num> <anon num> <anon num> партнёр не решил вопрос деньги не вернули за заправку через сервис азс от <anon num> августа <anon num> <anon num> руб
4382,где мой кэшбека за заправку на тебойл
4383,мне совершенно непонятно как пользоваться категорией сервис заправки
4384,как получить чеки по заправке
4385,выдало чек с ошибкой
4386,отделение работает плохо полтора менеджера на зал
4387,эльвина и роишан
4388,проходка в бизнес зал
4389,у меня alfa only но нет такого меню с бизнес залами и тд
4390,есть ли у меня право прохода в бизнес залы аэропорта
4391,есть ли какая то скидка при покупке бизнес лаунжа в аэропорту домодедово клиенту альфа банка
4392,рестораны и бизнес залы
4393,условия получения компенсации
4394,не высвечивается чек в <anon num> ух походах в ресторан в аэропорту
4395,действуют ли проходки в бизнес зал в аэропорту самары и что нужно сделать для того чтобы пройти в бизнес зал я жена и ребенок <anon num> года
4396,проход в бизнес залы
4397,сколько <anon num> визит стоит в бизнес зал
4398,но у меня нет в этом месяце визитов они списались
4399,как скомпенсировать поход в ресторан в аэропорту
4400,да вчера прислал чек по ресторану из аэропорта так же приложен билет на самолет
4401,а есть доступ к бизнес залам
4402,что за привелегия на сентябрь дополнительно кэшбэк кафе рестораны по бизнес карте
4403,если компенсация будет сентябрем у меня тогда вместо двух проходов в бизнес зал и рестораны останется один
4404,мне доступен бизнес зал альфа онли в шереметьево с
4405,есть ли у меня проходы в бизнес зал
4406,как компенсировать затраты на ресторан в аэропорту
4407,я выбрала банк зарплатным у меня есть спец условия доступ в бизнес залы и компенсация чека до <anon num> тыс в ресторане аэропорта можете рассказать порядок получения этой льготы
4408,сколько человек можно провести в бизнес зал
4409,это все залы партнеры альфа
4410,почему не получается компенсировать покупку в ресторане на территории аэропорта
4411,приналичии ареста <anon num> тыс руб могу ли я подключить пакет и получить компенсацию за проход в бизнес залы
4412,сколько у меня проходок в бизнес зал
4413,мне доступны два визита в бизнес залы аэропортов хочу уточнить могу ли я их использовать для прохода в бизнес зал международного терминала аэропорта уфа
4414,что за сообщение об ошибке компенсации
4415,компенсировать ресторан в аэропорту
4416,у меня есть проход в бизнес зал
4417,мне доступен проход в бизнес зал аэропорта
4418,бизнес зал аэропорт
4419,возможно ли милями купить проход в бизнес зал в аэропорту
4420,а почему я не вижу возможность компенсировать поездку <anon num> <anon num>
4421,сколько у меня проходов в бизнес зал
4422,как компенсировать проход в бизнес залы
4423,как пользоваться проходом в бизнес зал с картой альфа топ
4424,я оплачивал пропуск в бизнес зал в аэропорту хотел уточнить будет ли возврат дс по ним
4425,хочу узнать про визиты в аэропортах
4426,в частности проходы в бизнес залы аэропорта
4427,доступ в бизнес залы при каких условиях
4428,сколько у меня проходов в ресторан аэропорта и на какую сумму чека возвращаются деньги
4429,<anon num> <anon num> <anon num> был визит в шоколадницу shok sheremetevo в аэропорту шереметьево но деньги не вернулись за визит
4430,можно к карте номер <anon num> привязать другой номер телефона
4431,как можно сменить номер для подтверждения оплаты
4432,может быть два номера привязано к карте
4433,как можно привязать к карте ещё один мой номер телефона
4434,могу ли изменить номер телефона к которому привязана карта
4435,я хотел спросить можно сменить телефон номер к карте
4436,не меняется номер для уведомления
4437,как поменять номер телефона в приложении
4438,а можно ли привязать дебетовую карту к другому номеру телефона
4439,как поменять номер телефона на детской карте
4440,как можно сделать так чтобы смс и уведомления приходили не на мой номер а на другой
4441,хочу изменить номер телефона
4442,привязан другой номер телефона сейчас я не вижу свои счета
4443,как поменять номер телефона на детской карте
4444,изменить номер для входа и операций
4445,я хочу поменять номер телефона привязанный к моему аккаунту
4446,как позвонить в банк для смены номера телефона
4447,проблема со сменой номера
4448,подтвердить номер телфона
4449,могу ли я сделать свои дебетовые карты на разные номера счетов и к одной из них привязать другой номер телефона для уведомлений
4450,сменил оператора сотовой связи номер остался тот же как привязать номер
4451,можно ли привязать ещё один номер к карте
4452,как заменить номер телефона
4453,хочу переприаязать номер
4454,хочу что основной номер телефона для этого аккаунта был + <anon num>
4455,как привязать еще один номер телефона к карте
4456,какого числа я могу обновить номер телефона
4457,у меня номер сменился
4458,что нужно взять с собой в офис чтобы изменить номер телефона у ребенка в телефоне
4459,оформил детскую карту на ребенка но указал номер своего телефона теперь он не видит её у себя в приложении как сделать чтобы поменять номер в приложении чтобы он смог видеть свою карту в приложении
4460,поменять номер надо
4461,светится что не перенесён основной номер
4462,как подтвердить номер телефона
4463,как узнать какой номер телефона привязан к счету
4464,как привязать другой номер к карте
4465,у меня сменился номер можете его поменять в приложении
4466,там <anon num> телефона указано уведомления на мой номер а ее номер указывали при регистрации карты
4467,не могу поставить ватсап не видит новый номер
4468,какой у меня привязан номер телефона к моему счету
4469,как заблокировать старый номер
4470,мне нужно прикрепить карту к другому номеру можно ли это сделать онлайн может по видеосвязи
4471,когда сменят старый номер на новый
4472,привязать дополнительный номер телефона
4473,как привязать другой номер к лк банка
4474,как узнать свой реквизит счета карты
4475,бик и расчётный счёт
4476,как мне узнать номер расчетного счета карты
4477,как мне узнать номер моего счета
4478,где можно посмотреть расчетный счет
4479,как узнать номер договора
4480,рассчетный счет
4481,не вижу номер детской карты
4482,как узнать реквизит карты
4483,мне нужны реквизиты карты
4484,где найти мне бик карты
4485,жду номер токена
4486,реквизиты текущего зарплатного счета
4487,как взять реквизиты банковского счёта
4488,реквизиты моей карты
4489,нужны полные реквизиты карты
4490,помогите найти мои реквизиты для пополнения карты <anon num>
4491,где посмотреть сведения о счетах
4492,реквизиты моей карты полностью где посмотреть
4493,где найти реквизиты счета дебетовой карты
4494,как взять реквизиты счета моей карты мир в приложении альфа с печатью в пдф формате
4495,где я могу посмотреть номер расчетного счета
4496,хотелось узнать пришло ли уточнение реквизитов
4497,срочно нужны реквизиты карты
4498,как узнать счёт карты
4499,не открываются реквизиты
4500,мне нужно узнать мой расчётный счет
4501,не показывает код cvc при нажатии на кнопку показать код
4502,где посмотреть номер договора
4503,<anon num> <anon num> или <anon num>
4504,номера счетов моих кредитов
4505,где я могу посмотреть номер карты
4506,последние <anon num> цифры дебитовой карты <anon num>
4507,пришлите реквизиты зарплатной карты
4508,мне лицевой счёт и бик банка
4509,как посмотреть реквизиты карты
4510,как получить реквизиты картой с подписью
4511,как узнать номер кредитного счёта
4512,можно мне номер моего расчетного счета
4513,как мне узнать реквизиты карты
4514,где реквизиты счета
4515,подскажи срок действия карты <anon num>
4516,где можно получить реквизиты дебетовой карты в виде документа
4517,как узнать номер счета карты <anon num>
4518,давайте оценю
4519,оценить работу банка не могу т к мой вопрос ещё не решён
4520,конечно же ирина к вам никаких претензий я благодарен вам за ваши ответы вашу работу я могу оценить только на отлично но мне не было предложено это сделать в рамках этого чата
4521,где отзывы написать
4522,то есть я не могу оценить даже работу
4523,а где оценку то ставить
4524,а где аам оценку поставить
4525,<anon num> <anon num> <anon num> сумма покупки <anon num> <anon num>
4526,не поняла как оценку поставить
4527,когда ожидать сумму за отзыв он опубликован
4528,описаться
4529,где можно оценить вашу работу
4530,отзыв о представители
4531,как поставить оценку оператору
4532,за все покупки <anon num> красота <anon num>
4533,разговор со специалистом влпда оценка <anon num>
4534,отзыв
4535,хочу оценить работу оперативно чата
4536,нажимаю что оценить он открывает уведомления
4537,а еще мне вчера сообщили что после консультации придёт запрос оценки консультации но я так ничего и не получила
4538,как поставить оценку
4539,а где иконка оценки
4540,а как оценить
4541,вы уже попросили оценку а я еще даже к консультанту не попала
4542,мне перезвонят и прокомментирую оценку к вам как к оператору большое но к сожалению реакция со стороны банка может только когда ставить оценки
4543,это просто вопрос жизни и смерти очень надо оценить
4544,пришлите оценку
4545,готов оценить на отлично
4546,согласен но мне не предложило оценить
4547,татьяна оценка до <anon num> или <anon num>
4548,не поняла как ставить оценку
4549,так это и есть ссылка на мой отзыв
4550,а где оценка
4551,сотруднику марии <anon num> баллов по другому оценить не могу не отправляет смс пишу в чате
4552,оценка вашей работы будет после разрешение технических моментов
4553,ок оценю вашу работу отдельно от работы банка
4554,хочу оценить категории кэшбека в этом месяце
4555,по какой шкале оценивать
4556,а как вы его б идентифицировали б
4557,виктории хочу поставить высокую оценку
4558,если отзыв поставили без оценки под акцию я попадаю
4559,почему просят оценить работу сотрудника с которым я не общалась
4560,где посмотреть сам отзыв и его оценку куда надо зайти
4561,работу какого сотрудника я должен оценить ни с кем из альфа банка не контактировал сегодня
4562,приложение показывает что нет
